ID,Label,titles
88,B.H. Bransden & C.J. Joachain,"[{'title': '[1] B.H. Bransden & C.J. Joachain, Quantum Mechanics (Second edition), Chapter 3, 5.', 'citations': 1}]"
89,"C. Cohen-Tannoudji, B. Diu & F. Laloe","[{'title': '[2] C. Cohen-Tannoudji, B. Diu & F. Laloe, Quantum Mechanics, Vol. 1., Chapters 2,3.', 'citations': 1}]"
90,A. Messiah,"[{'title': '[3] A. Messiah, Quantum Mechanics, Vol. 1., Chapters 4, 5.', 'citations': 1}]"
91,D. Griffiths,"[{'title': '[4] D. Griffiths, Introduction to Quensutm Mechanics, Chapter 3.', 'citations': 1}]"
92,K. Krane,"[{'title': '1. K. Krane, Modern Physics (3rd edition), John Wiley & Sons. A more advanced, very nice book, which is adopted in subsequent modules on Quantum Mechanics is:', 'citations': 1}]"
93,B. H. Bransden and C. J. Joachain,"[{'title': '2. B. H. Bransden and C. J. Joachain, Quantum Mechanics, (2nd edition). Chapters 1, 2, 3 (and part of 4) are very useful also for this course. Finally, a book which has inspired generations of physicists is:', 'citations': 1}]"
94,R. P. Feynman,"[{'title': '3. R. P. Feynman, The Feynman Lectures on Physics, volume III: Quantum Mechanics. Chapters 1, 2 are a strongly recommended reading.', 'citations': 1}]"
95,"S. Aberg, H.Flocard, and W. Nazarewicz","[{'title': '[l]S. Aberg, H.Flocard, and W. Nazarewicz. Nuclear shapes in mean field theory. [2] M. Abramowitz and LA. Stegun, editors. Handbook of Mathematical Functions. Ann. Rev. Nucl. Part. Scz., 40:439, 1990. Dover, New York, 1965. [3] M.C. Abreu et al. Production of p + w and q5 in p-W and S-U collisions at 200 GeV/nucleon. Phys. Lett. B, 368:239, 1996. [4] F. Ajzenberg-Selove. Energy levels of light nuclei A = 18 - 20. Nucl. Phys. A, 475:1, 1987. [5] S.V Akulinichev et al. Lepton-nucleus deep-inelastic scattering. Phys. Rev. Lett., 55:2239, 1985. [6] I(.Alder et al. Study of nuclear structure by electromagnetic excitations with [7] K. Alder et al. Errata: Study of nuclear structure by electromagnetic excitations accelerated ions. Rev. Mod. Phys., 28:432, 1956. with accelerated ions. Rev. Mod. Phys., 30:353, 1958. 1 8 1 A. Aprahamian et al. First observation of a near-harmonic vibrational nucleus. Phys. Rev. Lett., 59:535, 1987. [9] A. Arima and F. Iachello. The interacting boson model. Advances in Nuclear Physzcs, 13:139, 1984.', 'citations': 1}]"
96,"R.A. Arndt, J.S.Hyslop","[{'title': '[lo] R.A. Arndt, J.S.Hyslop 1 1 1 , and L.D. Roper. Nucleon-nucleon partial-wave analysis to 1100 MeV. Phys. Rev. D, 35:128, 1987. (111 D. Ashery and J.P. Schiffer. Pion absorption in nuclei. Ann. Rev Nucl. Part. 112) J.J. Aubert et al. The ratio of the nucleon structure function FF for ion and Scz., 36:207, 1986. deuterium. Phys. Lett. B, 123:275, 1983. [13] J. Audouze and S. Vauclair. An Introduction to Nuclear Astrophysics. Reidel [14] F. Azgui et al. Feeding times of high-spin states in 1529154Dy.Nucl. Phys. A, Publishing Co., Dordrecht, Holland, 1980. 439:573, 1985. 435 I151 R. Azuma et al. Constraints on the low-energy El cross section of \'*C(cr,7)l60 from the P-delayed N spectrum of ""N. Phys. Rev. C,50:1194, 1994.', 'citations': 1}]"
97,H.W. Baer et al.,"[{'title': ""[lS] H.W. Baer et al. Isobaric-analogue-state transitions in pion charge-exchange reactions above the A(1232) resonance. In R.J. Peterson and D.D. Strottman, editors, Pion,-NidsirsPhysics, volume 163 of AIP Conf. Proc., page 67.American Instituk of Physics, New York, 1987. [17] C. Baglin et al. J/I) and muon-pair cross-sections in proton-nucleus and nucleusnucleus collisions at 200 GeV/nucleon. Ph,ys. Lett. B, 270:105, 1991. [18] C. Baglin et, al. 9' and J / 9 production in p-W, p-U and S-U interactions at 200 GeV/nucleon. Phys. Lett. B, 345:617, 1995. 1191 J.N. Bahcall. Neuirino Astrophysics. Cambridge University Press, Cambridge, 1989."", 'citations': 1}]"
